timestamp,open,high,low,close,volume
1779036240000,78157.68000000,78171.03000000,78157.68000000,78171.03000000,1.02020000
1779036300000,78171.02000000,78171.03000000,78160.68000000,78160.69000000,1.49601000
1779036360000,78160.69000000,78160.69000000,78130.13000000,78130.13000000,11.14503000
1779036420000,78130.13000000,78130.14000000,78102.30000000,78102.30000000,2.79251000
1779036480000,78102.30000000,78107.01000000,78100.00000000,78107.01000000,1.92256000
1779036540000,78107.00000000,78107.01000000,78107.00000000,78107.01000000,1.64536000
1779036600000,78107.00000000,78107.01000000,78054.84000000,78054.84000000,5.25384000
1779036660000,78054.84000000,78074.48000000,78054.84000000,78074.47000000,1.68658000
1779036720000,78074.48000000,78084.57000000,78074.47000000,78084.57000000,1.04065000
1779036780000,78084.56000000,78084.57000000,78063.26000000,78063.26000000,1.67638000
1779036840000,78063.27000000,78127.01000000,78063.26000000,78127.01000000,11.22593000
1779036900000,78127.01000000,78127.01000000,78040.43000000,78057.65000000,13.35155000
1779036960000,78057.65000000,78057.66000000,78057.65000000,78057.65000000,0.33263000
1779037020000,78057.66000000,78066.25000000,78050.76000000,78056.06000000,1.41089000
1779037080000,78056.06000000,78056.07000000,78044.78000000,78044.78000000,0.58770000
1779037140000,78044.79000000,78044.79000000,78025.23000000,78034.36000000,3.75617000
1779037200000,78034.37000000,78048.00000000,78028.41000000,78028.41000000,1.22377000
1779037260000,78028.40000000,78028.41000000,77942.22000000,77974.19000000,46.27166000
1779037320000,77974.18000000,78007.57000000,77974.18000000,78000.53000000,3.10571000
1779037380000,78000.54000000,78019.16000000,78000.53000000,78013.66000000,3.13987000
1779037440000,78013.67000000,78028.98000000,78013.66000000,78028.98000000,0.91991000
1779037500000,78028.98000000,78028.98000000,78009.80000000,78009.81000000,0.87640000
1779037560000,78009.80000000,78011.22000000,78000.00000000,78000.00000000,0.74070000
1779037620000,78000.00000000,78011.22000000,78000.00000000,78011.21000000,0.45003000
1779037680000,78011.21000000,78055.80000000,78007.63000000,78040.96000000,23.51320000
1779037740000,78040.95000000,78040.95000000,78022.31000000,78033.27000000,7.97444000
1779037800000,78033.28000000,78033.28000000,77990.92000000,77990.93000000,1.27896000
1779037860000,77990.92000000,77990.93000000,77963.14000000,77963.15000000,2.78005000
1779037920000,77963.14000000,77963.14000000,77908.53000000,77910.34000000,14.86695000
1779037980000,77910.34000000,77910.34000000,77892.18000000,77895.34000000,11.27890000
1779038040000,77895.34000000,77921.37000000,77895.34000000,77920.16000000,4.95671000
1779038100000,77920.17000000,77945.06000000,77920.16000000,77945.05000000,3.08762000
1779038160000,77945.06000000,77965.28000000,77945.05000000,77965.28000000,1.44657000
1779038220000,77965.27000000,77965.27000000,77935.65000000,77935.65000000,1.84078000
1779038280000,77935.65000000,77935.66000000,77856.69000000,77901.67000000,24.25478000
1779038340000,77901.67000000,77951.38000000,77901.66000000,77936.81000000,5.92485000
1779038400000,77936.82000000,77974.93000000,77934.43000000,77974.93000000,2.95385000
1779038460000,77974.93000000,77974.93000000,77974.92000000,77974.92000000,0.36491000
1779038520000,77974.92000000,77974.93000000,77961.46000000,77964.97000000,0.95257000
1779038580000,77964.97000000,77986.23000000,77964.97000000,77986.23000000,1.42183000
1779038640000,77986.22000000,77986.23000000,77974.22000000,77977.73000000,1.55916000
1779038700000,77977.74000000,77977.74000000,77935.93000000,77961.47000000,12.05581000
1779038760000,77961.47000000,77961.47000000,77946.63000000,77946.64000000,1.53769000
1779038820000,77946.64000000,77946.64000000,77946.63000000,77946.64000000,0.63638000
1779038880000,77946.64000000,77961.47000000,77946.63000000,77961.46000000,2.76098000
1779038940000,77961.46000000,77987.62000000,77961.46000000,77987.62000000,7.44993000
1779039000000,77987.62000000,77989.99000000,77977.13000000,77977.13000000,4.98169000
1779039060000,77977.14000000,77977.14000000,77977.13000000,77977.14000000,0.43966000
1779039120000,77977.14000000,77977.14000000,77902.20000000,77946.15000000,4.71273000
1779039180000,77946.14000000,77961.47000000,77939.94000000,77943.46000000,2.27060000
1779039240000,77943.45000000,77999.99000000,77943.45000000,77999.99000000,9.29379000
1779039300000,78000.00000000,78014.16000000,77969.90000000,77969.90000000,5.25606000
1779039360000,77969.90000000,77973.73000000,77969.90000000,77973.73000000,0.57081000
1779039420000,77973.73000000,77973.73000000,77940.26000000,77952.49000000,1.99566000
1779039480000,77952.48000000,77957.37000000,77925.08000000,77932.22000000,7.03964000
1779039540000,77932.21000000,78009.71000000,77915.06000000,78009.71000000,38.49544000
1779039600000,78009.70000000,78009.71000000,77996.00000000,77996.63000000,2.55638000
1779039660000,77996.63000000,78000.57000000,77993.39000000,78000.57000000,1.08233000
1779039720000,78000.58000000,78013.27000000,78000.57000000,78013.27000000,1.50502000
1779039780000,78013.27000000,78022.20000000,78013.26000000,78022.20000000,1.07703000
1779039840000,78022.20000000,78050.00000000,78022.20000000,78049.99000000,1.27330000
1779039900000,78050.00000000,78057.84000000,78022.19000000,78025.63000000,4.67484000
1779039960000,78025.63000000,78054.07000000,78025.62000000,78046.57000000,2.94380000
1779040020000,78046.58000000,78046.58000000,78036.00000000,78036.01000000,0.32010000
1779040080000,78036.01000000,78049.92000000,78036.00000000,78049.91000000,0.35335000
1779040140000,78049.91000000,78066.25000000,78049.91000000,78066.25000000,1.66143000
1779040200000,78066.25000000,78066.25000000,78066.24000000,78066.25000000,0.52051000
1779040260000,78066.25000000,78066.25000000,78057.77000000,78057.78000000,1.72614000
1779040320000,78057.78000000,78057.78000000,78057.77000000,78057.78000000,0.27579000
1779040380000,78057.78000000,78060.00000000,78045.24000000,78057.93000000,2.89975000
1779040440000,78057.94000000,78057.94000000,78053.41000000,78053.42000000,0.40266000
1779040500000,78053.42000000,78073.67000000,78053.41000000,78073.66000000,2.28761000
1779040560000,78073.67000000,78092.44000000,78073.66000000,78082.17000000,2.53949000
1779040620000,78082.17000000,78082.17000000,78073.66000000,78073.66000000,0.36025000
1779040680000,78073.67000000,78073.67000000,78073.66000000,78073.66000000,0.19304000
1779040740000,78073.66000000,78089.99000000,78073.66000000,78089.98000000,1.10503000
1779040800000,78089.99000000,78089.99000000,78076.20000000,78076.20000000,1.61957000
1779040860000,78076.21000000,78112.72000000,78076.21000000,78112.72000000,1.47444000
1779040920000,78112.72000000,78152.84000000,78112.72000000,78152.83000000,2.12303000
1779040980000,78152.84000000,78184.45000000,78152.84000000,78184.44000000,4.27409000
1779041040000,78184.44000000,78245.15000000,78180.96000000,78189.89000000,19.01715000
1779041100000,78189.89000000,78223.05000000,78189.88000000,78223.04000000,2.65345000
1779041160000,78223.05000000,78225.16000000,78201.49000000,78212.20000000,4.38004000
1779041220000,78212.20000000,78212.20000000,78192.61000000,78192.62000000,0.86340000
1779041280000,78192.61000000,78192.62000000,78163.28000000,78163.91000000,3.88856000
1779041340000,78163.91000000,78163.92000000,78132.60000000,78133.09000000,2.39082000
1779041400000,78133.08000000,78154.91000000,78133.08000000,78142.12000000,1.19623000
1779041460000,78142.13000000,78154.91000000,78133.01000000,78133.02000000,2.23806000
1779041520000,78133.02000000,78147.33000000,78133.01000000,78147.33000000,0.57290000
1779041580000,78147.32000000,78160.81000000,78147.32000000,78160.81000000,0.96498000
1779041640000,78160.80000000,78160.81000000,78125.48000000,78125.48000000,9.97040000
1779041700000,78125.48000000,78135.35000000,78125.48000000,78135.35000000,1.72438000
